No,Brand,Type,Name,Carbs,Protein,Fat,Calo,DataSource
1,KFC,Chicken,original recipe chicken drum,7,15.4,9.8,178,https://www.kfc.com.sg/nutrition-allergen
2,KFC,Chicken,original recipe rib,16.9,30.7,24.9,415,https://www.kfc.com.sg/nutrition-allergen
3,KFC,Chicken,original recipe thigh,14.1,23.3,21.5,343,https://www.kfc.com.sg/nutrition-allergen
4,KFC,Chicken,original recipe wing,8.6,20.9,15.8,259,https://www.kfc.com.sg/nutrition-allergen
5,KFC,Chicken,hot & crispy chicken drumstick,8,17,13,212,https://www.kfc.com.sg/nutrition-allergen
6,KFC,Chicken,hot & crispy chicken keel,14,30,24,390,https://www.kfc.com.sg/nutrition-allergen
7,KFC,Chicken,hot & crispy chicken rib,10,17,16,220,https://www.kfc.com.sg/nutrition-allergen
8,KFC,Chicken,hot & crispy chicken thigh,13,26,17,399,https://www.kfc.com.sg/nutrition-allergen
9,KFC,Chicken,hot & crispy chicken wing,6,12,13,190,https://www.kfc.com.sg/nutrition-allergen
10,KFC,Burger,cheesy zinger stacker,58,54,73,1106, https://www.kfc.com.sg/nutrition-allergen
11,KFC,Burger,zinger,47,28,37,633,https://www.kfc.com.sg/nutrition-allergen
12,KFC,Burger,original recipe burger,52.7,22.9,29.3,517,https://www.kfc.com.sg/nutrition-allergen
13,KFC,Burger,original recipe stacker,71.1,44.1,54,896, https://www.kfc.com.sg/nutrition-allergen
14,KFC,Burger,bbq cheese zinger,49.2,26,25.4,521,https://www.kfc.com.sg/nutrition-allergen
15,KFC,Burger,bbq tenders burger,53.8,27.5,24.6,496,https://www.kfc.com.sg/nutrition-allergen
16,KFC,Wraps,pocket bandito,49,26,36,622,https://www.kfc.com.sg/nutrition-allergen
17,KFC,Bowl,original recipe rice bowl,62,13,16,440,https://www.kfc.com.sg/nutrition-allergen
18,KFC,Bowl,curry rice bowl,72,14,19,515,https://www.kfc.com.sg/nutrition-allergen
19,KFC,Bowl,famous bowl,55,11,10,356,https://www.kfc.com.sg/nutrition-allergen
20,KFC,Sides,hot & crispy tenders (3 pcs),14,31,14,304,https://www.kfc.com.sg/nutrition-allergen
21,KFC,Sides,hot & crispy tenders (5 pcs),23,51,23,507,https://www.kfc.com.sg/nutrition-allergen
22,KFC,Sides,nuggets (6 pcs),14,14,14,239,https://www.kfc.com.sg/nutrition-allergen
23,KFC,Sides,nuggets (20 pcs),45,48,47,796,https://www.kfc.com.sg/nutrition-allergen
24,KFC,Sides,popcorn chicken,27,21,28,446,https://www.kfc.com.sg/nutrition-allergen
25,KFC,Sides,whipped potato (reg),10,2,0.3,51,https://www.kfc.com.sg/nutrition-allergen
26,KFC,Sides,whipped potato (med),21,4,0.6,102, https://www.kfc.com.sg/nutrition-allergen
27,KFC,Sides,coleslaw (reg),8,1,7,98,https://www.kfc.com.sg/nutrition-allergen
